iter	Passed	Remaining
619	1401	858
620	1402	855
621	1403	852
622	1404	849
623	1405	846
624	1406	843
625	1407	840
626	1408	837
627	1409	835
628	1410	832
629	1411	829
630	1412	826
631	1413	823
632	1415	820
633	1416	817
634	1417	814
635	1418	812
636	1419	809
637	1420	806
638	1421	803
639	1422	800
640	1423	797
641	1424	794
642	1425	791
643	1426	788
644	1427	785
645	1429	783
646	1430	780
647	1432	777
648	1433	775
649	1434	772
650	1435	769
651	1436	766
652	1437	763
653	1438	760
654	1439	758
655	1440	755
656	1441	752
657	1442	749
658	1443	746
659	1445	744
660	1447	742
661	1448	739
662	1449	736
663	1450	734
664	1451	731
665	1452	728
666	1453	725
667	1454	722
668	1455	720
669	1456	717
670	1458	715
671	1460	712
672	1462	710
673	1463	707
674	1464	705
675	1465	702
676	1467	700
677	1468	697
678	1469	694
679	1470	692
680	1471	689
681	1472	686
682	1473	684
683	1476	682
684	1478	679
685	1479	677
686	1481	674
687	1482	672
688	1483	669
689	1484	667
690	1486	664
691	1487	662
692	1488	659
693	1489	656
694	1492	655
695	1493	652
696	1495	650
697	1496	647
698	1497	644
699	1498	642
700	1499	639
701	1500	636
702	1501	634
703	1502	631
704	1503	629
705	1504	626
706	1507	624
707	1508	622
708	1510	619
709	1511	617
710	1512	614
711	1513	612
712	1514	609
713	1515	606
714	1516	604
715	1517	601
716	1518	599
717	1519	596
718	1521	594
719	1522	592
720	1524	589
721	1525	587
722	1526	584
723	1527	582
724	1528	579
725	1529	577
726	1530	574
727	1531	572
728	1532	569
729	1533	567
730	1534	564
731	1537	562
732	1538	560
733	1539	557
734	1540	555
735	1541	552
736	1542	550
737	1543	548
738	1544	545
739	1545	543
740	1546	540
741	1547	538
742	1549	535
743	1550	533
744	1551	531
745	1553	528
746	1554	526
747	1555	524
748	1556	521
749	1558	519
750	1559	517
751	1560	514
752	1561	512
753	1562	509
754	1563	507
755	1564	505
756	1566	503
757	1568	500
758	1569	498
759	1570	495
760	1571	493
761	1572	491
762	1573	488
763	1574	486
764	1575	484
765	1576	481
766	1577	479
767	1578	476
768	1579	474
769	1581	472
770	1582	470
771	1584	467
772	1585	465
773	1586	463
774	1587	460
775	1588	458
776	1589	456
777	1590	453
778	1591	451
779	1592	449
780	1593	446
781	1594	444
782	1595	442
783	1597	440
784	1598	437
785	1599	435
786	1600	433
787	1601	430
788	1602	428
789	1603	426
790	1604	424
791	1605	421
792	1606	419
793	1607	417
794	1608	414
795	1610	412
796	1611	410
797	1613	408
798	1614	406
799	1615	403
800	1616	401
801	1617	399
802	1618	397
803	1619	394
804	1620	392
805	1622	390
806	1623	388
807	1624	385
808	1625	383
809	1626	381
810	1628	379
811	1629	377
812	1630	375
813	1631	372
814	1632	370
815	1633	368
816	1635	366
817	1636	364
818	1637	361
819	1639	359
820	1640	357
821	1642	355
822	1644	353
823	1645	351
824	1646	349
825	1648	347
826	1650	345
827	1651	343
828	1652	340
829	1653	338
830	1654	336
831	1655	334
832	1657	332
833	1659	330
834	1660	328
835	1661	325
836	1662	323
837	1663	321
838	1664	319
839	1665	317
840	1666	315
841	1667	312
842	1668	310
843	1669	308
844	1670	306
845	1671	304
846	1673	302
847	1674	300
848	1676	298
849	1677	295
850	1678	293
851	1679	291
852	1680	289
853	1681	287
854	1682	285
855	1683	283
856	1684	281
857	1685	278
858	1686	276
859	1688	274
860	1689	272
861	1690	270
862	1692	268
863	1693	266
864	1694	264
865	1695	262
866	1696	260
867	1697	258
868	1698	256
869	1699	253
870	1700	251
871	1701	249
872	1704	247
873	1705	245
874	1706	243
875	1707	241
876	1708	239
877	1709	237
878	1710	235
879	1711	233
880	1712	231
881	1713	229
882	1714	227
883	1715	225
884	1716	223
885	1718	221
886	1720	219
887	1721	217
888	1722	215
889	1723	213
890	1724	211
891	1726	209
892	1727	206
893	1728	204
894	1729	202
895	1730	200
896	1731	198
897	1732	196
898	1734	194
899	1735	192
900	1736	190
901	1738	188
902	1739	186
903	1740	184
904	1741	182
905	1743	180
906	1744	178
907	1745	176
908	1746	174
909	1747	172
910	1749	170
911	1751	168
912	1752	166
913	1753	164
914	1754	162
915	1755	160
916	1756	158
917	1757	156
918	1758	154
919	1759	152
920	1760	151
921	1761	149
922	1762	147
923	1764	145
924	1765	143
925	1767	141
926	1768	139
927	1769	137
928	1770	135
929	1771	133
930	1772	131
931	1773	129
932	1774	127
933	1775	125
934	1776	123
935	1777	121
936	1779	119
937	1780	117
938	1782	115
939	1783	113
940	1784	111
941	1785	109
942	1786	107
943	1787	106
944	1788	104
945	1789	102
946	1790	100
947	1791	98
948	1792	96
949	1793	94
950	1796	92
951	1797	90
952	1798	88
953	1799	86
954	1800	84
955	1801	82
956	1802	80
957	1803	79
958	1804	77
959	1805	75
960	1806	73
961	1807	71
962	1809	69
963	1811	67
964	1812	65
965	1813	63
966	1814	61
967	1815	60
968	1816	58
969	1817	56
970	1818	54
971	1819	52
972	1820	50
973	1821	48
974	1823	46
975	1824	44
976	1826	42
977	1827	41
978	1828	39
979	1829	37
980	1831	35
981	1832	33
982	1833	31
983	1834	29
984	1835	27
985	1836	26
986	1838	24
987	1839	22
988	1841	20
989	1842	18
990	1843	16
991	1844	14
992	1845	13
993	1846	11
994	1847	9
995	1848	7
996	1849	5
997	1850	3
998	1851	1
999	1852	0
